时间,经度,纬度,GPS状态
14:22:9,30.501491108333333,114.42600204,4
14:22:10,30.501491106666666,114.42600206333333,4
14:22:11,30.501491103333333,114.42600200333334,4
14:22:12,30.50149113333333,114.42600207166667,4
14:22:13,30.501491181666665,114.42600206166667,4
14:22:14,30.501491178333332,114.42600202833333,4
14:22:15,30.501491181666665,114.42600202666667,4
14:22:16,30.501491215,114.42600197666667,4
14:22:17,30.501491528333332,114.42600029666667,4
14:22:18,30.501494205,114.42598793333333,4
14:22:19,30.501497406666665,114.42596809666667,4
14:22:20,30.50150212,114.425939825,4
14:22:21,30.501506821666666,114.42590540166667,4
14:22:22,30.501510146666668,114.42586810666667,4
14:22:23,30.501511986666667,114.42582939666667,4
14:22:24,30.501514371666666,114.42579050166667,4
14:22:25,30.501516596666665,114.42575319333334,4
14:22:26,30.501519436666666,114.42571658666667,4
14:22:27,30.501522155,114.425678345,4
14:22:28,30.501524466666666,114.425641135,4
14:22:29,30.501524803333332,114.4256039,4
14:22:30,30.501519886666667,114.425568825,4
14:22:31,30.501510285,114.42553495,4
14:22:32,30.501502446666667,114.42550386,4
14:22:33,30.501496643333333,114.42547783166667,4
14:22:34,30.501494488333332,114.42545744166667,4
14:22:35,30.501499756666668,114.425439625,4
14:22:36,30.501511708333332,114.425429745,4
14:22:37,30.501524766666666,114.42542970166667,4
14:22:38,30.50153016166667,114.42543100666667,4
14:22:39,30.50153167,114.42543114666667,4
14:22:40,30.5015317,114.42543121666667,4
14:22:41,30.501531718333332,114.42543107833333,4
14:22:42,30.501531775,114.425431025,4
14:22:43,30.50153182,114.42543095666667,4
14:22:44,30.501531805,114.425430985,4
14:22:45,30.501531808333333,114.425430975,4
14:22:46,30.501531745,114.42543102166667,4
14:22:47,30.501531736666667,114.42543101833333,4
14:22:48,30.501531746666668,114.425431015,4
14:22:49,30.501531715,114.42543101833333,4
14:22:50,30.501531728333333,114.42543101166666,4
14:22:51,30.50153168,114.42543101166666,4
14:22:52,30.501531745,114.42543110333334,4
14:22:53,30.501531728333333,114.42543107333333,4
14:22:54,30.501531718333332,114.42543109,4
14:22:55,30.501531701666668,114.42543103333334,4
14:22:56,30.501531721666666,114.42543104166667,4
14:22:57,30.501531728333333,114.42543107333333,4
14:22:58,30.501531693333334,114.425431045,4
14:22:59,30.50153168,114.425431045,4
14:23:0,30.501531678333333,114.425431095,4
14:23:1,30.501531666666665,114.42543111666667,4
14:23:2,30.50153174,114.42543105333333,4
14:23:3,30.501531716666666,114.42543103166666,4
14:23:4,30.501531698333334,114.42543105,4
14:23:5,30.5015317,114.42543106166667,4
14:23:6,30.501531701666668,114.42543105833333,4
14:23:7,30.501531685,114.42543112333334,4
14:23:8,30.501531638333333,114.42543112166666,4
14:23:9,30.501531666666665,114.42543129666667,4
14:23:10,30.501531633333332,114.42543150333333,4
14:23:11,30.501531506666666,114.42543143333333,4
14:23:12,30.5015316,114.42543110666666,4
14:23:13,30.501531655,114.425431155,4
14:23:14,30.501531616666668,114.425430995,4
14:23:15,30.501531573333335,114.42543100666667,4
14:23:16,30.50153275,114.42543118333333,4
14:23:17,30.501538715,114.42543153166666,4
14:23:18,30.501549726666667,114.42543032333333,4
14:23:19,30.50156791,114.42542795,4
14:23:20,30.501591198333333,114.42542735166667,4
14:23:21,30.50161759,114.42542804166666,4
14:23:22,30.50164749,114.425429435,4
14:23:23,30.501676763333332,114.42542930833334,4
14:23:24,30.501709596666668,114.42542769833334,4
14:23:25,30.501747876666666,114.42542669,4
14:23:26,30.501788886666667,114.42542474,4
14:23:27,30.50183274666667,114.42542122333333,4
14:23:28,30.50187937,114.42541761333334,4
14:23:29,30.50192766,114.42541838166666,4
14:23:30,30.50197676333333,114.42542316333333,4
14:23:31,30.502026615,114.42542845166666,4
14:23:32,30.502076621666667,114.42543359166666,4
14:23:33,30.502126265,114.42543848833333,4
14:23:34,30.502176826666666,114.42544331333333,4
14:23:35,30.50222888,114.425448275,4
14:23:36,30.502281641666666,114.425454515,4
14:23:37,30.502334843333333,114.42545995666667,4
14:23:38,30.50238858,114.42546598,4
14:23:39,30.502443273333334,114.42547117166667,4
14:23:40,30.502498123333332,114.42547581833334,4
14:23:41,30.502552481666665,114.42548100166667,4
14:23:42,30.50260614,114.425486795,4
14:23:43,30.502658485,114.42549246833333,4
14:23:44,30.502709543333335,114.42549731,4
14:23:45,30.502760026666667,114.42550267333333,4
14:23:46,30.502810498333332,114.42550809833334,4
14:23:47,30.502860643333335,114.425513295,4
14:23:48,30.502909875,114.42551872666667,4
14:23:49,30.502956616666665,114.42552505833333,4
14:23:50,30.502998455,114.42552929833333,4
14:23:51,30.503035775,114.42553181166667,4
14:23:52,30.503069946666667,114.42553494833334,4
